#,,Whisky,Stated Age,Strength,Size,Rating,Votes,
1,,Laphroaig 1967 RWD,15,57.0 % Vol.,750 ml,96.24,44,
2,,Laphroaig 1970 RWD,14,57.1 % Vol.,750 ml,95.93,19,
3,,Bowmore 1964 Fino Cask?The Trilogy Series,37,49.6 % Vol.,700 ml,95.89,50,
4,,Bowmore 1966 Sa?Bouquet,,53.0 % Vol.,750 ml,95.87,69,
5,,Strathisla 1967 RWD,,57.0 % Vol.,750 ml,95.81,24,
6,,Bowmore 1964,,42.9 % Vol.,700 ml,95.53,18,
7,,Bowmore 1966 HSC?The Scottish Colourists,35,43.7 % Vol.,750 ml,95.47,22,
8,,Springbank 100 Proof?Imported by Samaroli,12,57.1 % Vol.,750 ml,95.37,122,
9,,Mortlach 1930 UD?Mort Lach,,52.0 % Vol.,700 ml,95.35,19,
10,,Bowmore 1966 Kb?Celtic Series,35,43.7 % Vol.,700 ml,95.28,44,
11,,Brora 1972?Limited Edition,40,59.1 % Vol.,700 ml,95.18,86,
12,,Glen Grant 27-year-old RWD,27,43.0 % Vol.,750 ml,95.16,21,
13,,Springbank 1966?Local Barley,,56.8 % Vol.,700 ml,95.12,27,
14,,Springbank 1966?Local Barley - West Highland,24,58.1 % Vol.,750 ml,95.1,74,
15,,Ardbeg 1976?Manager's Choice,,56.0 % Vol.,700 ml,95.09,47,
16,,Highland Park 50-year-old?Sterling silver frame - exclusively from Harrods,50,44.8 % Vol.,700 ml,95.07,41,
17,,Macallan 1958/59?The Anniversary Malt,25,43.0 % Vol.,750 ml,95.07,24,
18,,Bowmore 1957,38,40.1 % Vol.,700 ml,95,32,
19,,Bowmore 1964?Islay Pure Malt,,43.0 % Vol.,750 ml,94.96,31,
20,,Laphroaig 1970 RWD,,54.0 % Vol.,750 ml,94.95,61,
21,,Macallan 1970?The Anniversary Malt,25,43.0 % Vol.,750 ml,94.93,16,
22,,Dalmore 50-year-old?Crystal Decanter,50,52.0 % Vol.,700 ml,94.93,18,
23,,Glen Garioch 1971 Sa?Full Proof,,59.6 % Vol.,750 ml,94.9,137,
24,,Ardbeg 1976?The Ardbeg Committee,,53.2 % Vol.,700 ml,94.89,47,
25,,Ardbeg 1975?Committee Reserve,,46.7 % Vol.,700 ml,94.88,34,
26,,Glenfarclas 1959?The Family Casks (Release IV),50,48.8 % Vol.,700 ml,94.86,23,
27,,Ardbeg 1967 Kb,29,54.6 % Vol.,700 ml,94.86,39,
28,,Mortlach 70-year-old GM Generations?Crystal Decanter,70,46.1 % Vol.,700 ml,94.84,28,
29,,Springbank 1969 SV?Cask Strength Collection,40,54.4 % Vol.,700 ml,94.8,80,
30,,Springbank 1966?Local Barley - West Highland,24,60.7 % Vol.,750 ml,94.79,41,
31,,Auchentoshan 1957?Decanter,50,49.1 % Vol.,700 ml,94.79,21,
32,,Highland Park 1964?Orcadian Vintage Series,,42.2 % Vol.,700 ml,94.79,35,
33,,Macallan 1958?The Anniversary Malt,25,43.0 % Vol.,750 ml,94.79,16,
34,,Bowmore 1964 Oloroso?The Trilogy Series,35,42.1 % Vol.,700 ml,94.79,17,
35,,Bowmore 1967,,50.0 % Vol.,750 ml,94.76,32,
36,,Bowmore 1964?Black Bowmore - The Last Cask,50,40.9 % Vol.,700 ml,94.73,17,
37,,Glen Grant 1953 GM?Mr. George Legacy,,59.4 % Vol.,700 ml,94.73,58,
38,,Glenglassaugh 1963,51,41.7 % Vol.,700 ml,94.73,20,
39,,Springbank 1962?White Label Big Golden S,29,46.0 % Vol.,700 ml,94.73,25,
40,,Ardbeg 1976?Feis Ile 2002,,53.1 % Vol.,700 ml,94.72,95,
41,,Ardbeg 1976,,54.5 % Vol.,700 ml,94.71,85,
42,,Bowmore 1966 DT?Peerless,40,43.5 % Vol.,700 ml,94.71,26,
43,,Bowmore 1964 White,43,42.8 % Vol.,700 ml,94.71,85,
44,,Macallan 1952 80 proof?Rinaldi Import,15,45.85 % Vol.,750 ml,94.7,25,
45,,Bowmore 1955?Ceramic decanter - commemorate opening Visitor Centre,,40.0 % Vol.,375 ml,94.69,16,
46,,Bowmore 1966 DT?Peerless,43,44.9 % Vol.,700 ml,94.68,24,
47,,Ord 1962 Sa?Bouquet,22,58.0 % Vol.,750 ml,94.67,64,
48,,Springbank 35-year-old?Millennium Bottling Limited Edition,35,46.0 % Vol.,700 ml,94.67,104,
49,,Macallan 1972?The Anniversary Malt,25,43.0 % Vol.,750 ml,94.67,20,
50,,Glenlivet 1954 GM?Private Collection,,50.6 % Vol.,700 ml,94.66,34,
51,,Highland Park 35-year-old?John Goodwin - Cask Strength,35,50.0 % Vol.,700 ml,94.63,29,
52,,Ardbeg 1967 Kb,29,52.0 % Vol.,700 ml,94.63,34,
53,,Ardbeg 1974?Single Cask,,44.5 % Vol.,700 ml,94.62,36,
54,,Ardbeg 1975?Single Cask,,44.8 % Vol.,700 ml,94.61,31,
55,,Bowmore 1965 MBo?The Prestonfield,22,43.0 % Vol.,750 ml,94.61,91,
56,,Bowmore 1965?Islay Pure Malt,,50.0 % Vol.,750 ml,94.59,104,
57,,Ardbeg 1972,31,49.2 % Vol.,700 ml,94.59,52,
58,,Glen Cawdor 1964 RWD?Pure Malt Scotch Whisky,,43.0 % Vol.,750 ml,94.59,29,
59,,Ardbeg 1974?La Maison du Whisky,,52.5 % Vol.,700 ml,94.58,36,
60,,Bowmore 1965?Islay Pure Malt,,50.0 % Vol.,750 ml,94.58,100,
61,,Bowmore 1964 Black?First Edition,29,50.0 % Vol.,700 ml,94.58,119,
62,,Macallan 1948?Select Reserve - 21st April,51,46.6 % Vol.,700 ml,94.57,16,
63,,Ardbeg 1972,30,49.9 % Vol.,700 ml,94.56,84,
64,,Bowmore 1964 Gold,44,42.4 % Vol.,700 ml,94.56,73,
65,,Brora 1972?Rare Malts Selection,22,58.7 % Vol.,700 ml,94.55,88,
66,,Ardbeg 1972?Ping No. 1,31,51.4 % Vol.,700 ml,94.55,52,
67,,Longmorn 1974 Sa?Natural Strength,,60.8 % Vol.,750 ml,94.54,56,
68,,Port Ellen 1981 RWD,,57.0 % Vol.,700 ml,94.53,24,
