분류,운동 부위,남성 운동명,여성 운동명
유산소,-,야외 저강도 러닝 30분,야외 저강도 러닝 25분
유산소,-,야외 고강도 러닝 30분,야외 고강도 러닝 25분
유산소,-,등산 2시간,등산 2시간
유산소,-,수영 50분,수영 50분
유산소,-,사이클링 1시간,사이클링 1시간
유산소,-,야외 걷기 1시간,야외 걷기 1시간
유산소,-,축구 2시간,축구 1시간 30분
유산소,-,농구 1시간,농구 1시간
유산소,-,배드민턴 2시간,배드민턴 2시간
유산소,-,테니스 2시간,테니스 2시간
유산소,-,탁구 2시간,탁구 2시간
유산소,-,줄넘기 30분,줄넘기 30분
유산소,-,강강술래 1시간,강강술래 1시간
근력 운동,가슴,"벤치프레스 12 x 5set
인클라인 벤치 프레스 12 x 5set
팩덱플라이 10 x 4set
딥스 10 x 4set","벤치프레스 10 x 5set
인클라인 벤치 프레스 10 x 5set
팩덱플라이 8 x 4set
딥스 8 x 4set"
근력 운동,가슴,"덤벨프레스 12 x 5set
인클라인 덤벨 프레스 12 x 5set
디클라인 덤벨 프레스 10 x 4set
케이블 크로스오버 10 x 4set","덤벨프레스 10 x 5set
인클라인 덤벨 프레스 10 x 5set
디클라인 덤벨 프레스 8 x 4set
케이블 크로스오버 8 x 4set"
근력 운동,가슴,"푸쉬업 5set(개인 MAX, 80%, 80%, 60%, 60%)
딥스 10 x 4set
원암 덤벨 프레스 (한 팔씩)10 x 4set","니 푸쉬업 5set(개인 MAX, 80%, 80%, 60%, 60%)
딥스 8 x 4set
원암 덤벨 프레스 (한 팔씩) 8 x 4set"
근력 운동,등,"턱걸이 5set(MAX, 80%, 80%, 50%, 50%)
시티드 로우 12 x 4set
랫풀다운 10 x 4set","턱걸이 5set(MAX, 80%, 80%, 50%, 50%)
시티드 로우 10 x 4set
랫풀다운 8 x 4set"
근력 운동,등,"친업 5set(MAX, 80%, 80%, 50%, 50%)
원 암 덤벨 로우 (각각) 12 x 4set
바벨로우 12 x 4set
등갈비 먹기 10개","친업 5set(MAX, 80%, 80%, 50%, 50%)
원 암 덤벨 로우 (각각) 10 x 4set
바벨로우 10 x 4set
등갈비 먹기 8개"
근력 운동,하체,"레그프레스 12 x 5set
레그컬 12 x 5set
에어 스쿼트 10 x 4set
런지 10 x 4set","레그프레스 10 x 5set
레그컬 10 x 5set
에어 스쿼트 8 x 4set
런지 8 x 4set"
근력 운동,하체,"백스쿼트 12 x 5set
고블렛 스쿼트 12 x 5set
앉았다 일어서기 10 x 4set
오리걸음 운동장 1바퀴","백스쿼트 10 x 5set
고블렛 스쿼트 10 x 5set
앉았다 일어서기 8 x 4set
오리걸음 운동장 1바퀴"
